MutationChance,CrossoverChance,LearningRate,Fitness
0.1,0.5,0.25,8.158666516
0.1,0.5,0.5,8.311875485
0.1,0.5,0.75,8.64396224
0.1,0.5,1,8.11344298
0.1,0.5,1.25,8.690511183
0.1,0.6,0.25,8.522064216
0.1,0.6,0.5,8.277512797
0.1,0.6,0.75,8.397431261
0.1,0.6,1,8.390046833
0.1,0.6,1.25,8.544703212
0.1,0.7,0.25,7.77471596
0.1,0.7,0.5,8.482936881
0.1,0.7,0.75,7.904554819
0.1,0.7,1,8.232682828
0.1,0.7,1.25,8.272680827
0.1,0.8,0.25,7.970261932
0.1,0.8,0.5,8.143420815
0.1,0.8,0.75,7.84831774
0.1,0.8,1,8.06680706
0.1,0.8,1.25,8.147496079
0.1,0.9,0.25,8.469749255
0.1,0.9,0.5,8.324432482
0.1,0.9,0.75,8.63355368
0.1,0.9,1,8.363551229
0.1,0.9,1.25,8.558444683
0.1,1,0.25,8.33835721
0.1,1,0.5,8.256531886
0.1,1,0.75,8.640701069
0.1,1,1,8.398531403
0.1,1,1.25,8.007586589
0.2,0.5,0.25,8.695163138
0.2,0.5,0.5,8.709434944
0.2,0.5,0.75,8.533604452
0.2,0.5,1,8.775256256
0.2,0.5,1.25,8.693466137
0.2,0.6,0.25,8.862705409
0.2,0.6,0.5,8.667337714
0.2,0.6,0.75,8.494001149
0.2,0.6,1,8.352900124
0.2,0.6,1.25,8.813591313
0.2,0.7,0.25,8.614561044
0.2,0.7,0.5,8.386343274
0.2,0.7,0.75,8.569503376
0.2,0.7,1,8.76759674
0.2,0.7,1.25,8.637051825
0.2,0.8,0.25,8.433158813
0.2,0.8,0.5,8.463475375
0.2,0.8,0.75,8.440930571
0.2,0.8,1,8.561544619
0.2,0.8,1.25,8.647800736
0.2,0.9,0.25,8.429415429
0.2,0.9,0.5,8.450599226
0.2,0.9,0.75,8.160894473
0.2,0.9,1,8.187660904
0.2,0.9,1.25,8.399274053
0.2,1,0.25,8.29100169
0.2,1,0.5,8.399896716
0.2,1,0.75,8.53431779
0.2,1,1,8.1760644
0.2,1,1.25,8.389105997
0.3,0.5,0.25,9.102041597
0.3,0.5,0.5,8.760143886
0.3,0.5,0.75,8.693519158
0.3,0.5,1,8.703708089
0.3,0.5,1.25,8.705813428
0.3,0.6,0.25,8.788424295
0.3,0.6,0.5,8.91886251
0.3,0.6,0.75,8.876822489
0.3,0.6,1,9.072081963
0.3,0.6,1.25,8.685273044
0.3,0.7,0.25,8.32358656
0.3,0.7,0.5,8.823891613
0.3,0.7,0.75,9.058645739
0.3,0.7,1,8.811015574
0.3,0.7,1.25,8.766576478
0.3,0.8,0.25,8.582202897
0.3,0.8,0.5,8.735844271
0.3,0.8,0.75,8.44659114
0.3,0.8,1,8.608241916
0.3,0.8,1.25,8.610220392
0.3,0.9,0.25,8.560603107
0.3,0.9,0.5,8.504754712
0.3,0.9,0.75,8.502005438
0.3,0.9,1,8.237065473
0.3,0.9,1.25,8.643074723
0.3,1,0.25,8.569754177
0.3,1,0.5,8.62221667
0.3,1,0.75,8.325534124
0.3,1,1,8.499377361
0.3,1,1.25,8.312208773
0.4,0.5,0.25,9.089715031
0.4,0.5,0.5,8.867001253
0.4,0.5,0.75,9.024593646
0.4,0.5,1,9.044765635
0.4,0.5,1.25,9.212656341
0.4,0.6,0.25,8.726663142
0.4,0.6,0.5,8.949959438
0.4,0.6,0.75,8.876478048
0.4,0.6,1,8.983772274
0.4,0.6,1.25,8.892947513
0.4,0.7,0.25,8.685859847
0.4,0.7,0.5,8.940468576
0.4,0.7,0.75,9.101927004
0.4,0.7,1,8.933141218
0.4,0.7,1.25,8.888604669
0.4,0.8,0.25,8.493499726
0.4,0.8,0.5,8.652409793
0.4,0.8,0.75,8.863257125
0.4,0.8,1,9.133793813
0.4,0.8,1.25,8.930180759
0.4,0.9,0.25,8.566175172
0.4,0.9,0.5,8.686990034
0.4,0.9,0.75,8.789145534
0.4,0.9,1,8.638378212
0.4,0.9,1.25,8.593221712
0.4,1,0.25,8.564935274
0.4,1,0.5,8.91788629
0.4,1,0.75,8.487213129
0.4,1,1,8.874423765
0.4,1,1.25,8.751710307
0.5,0.5,0.25,9.011677787
0.5,0.5,0.5,9.368903606
0.5,0.5,0.75,9.202064407
0.5,0.5,1,9.14068588
0.5,0.5,1.25,9.356581689
0.5,0.6,0.25,8.8225286
